Revision:   799
Variant:    Variant of FP_20_Online_P1_V3_ST
Units used: mm

Designator Comment              Layer       Footprint                                       Center-X(mm) Center-Y(mm) Rotation MPN   
D44        SP4020-01FTG         BottomLayer SOD323_NXP                                      29.5159      24.2114      90       SP4020-01FTG                         
D45        SP4020-01FTG         TopLayer    SOD323_NXP                                      86.9817      17.2358      180      SP4020-01FTG                         
D46        SP4020-01FTG         BottomLayer SOD323_NXP                                      20.9000      19.1996      90       SP4020-01FTG                         
J1         IDC2X10R20           TopLayer    IDC2X10R20H4.7_2143-2X10G00DP_OUPIIN_MIRR       61.8959      6.5863       0        2143-2X10G00DPU-P                    
J2         IDC2X20R20           TopLayer    IDC2X20R20H4.7_2143-2X20G00DP_OUPIIN_MIRR       99.1559      6.5863       0        2143-2X20G00DPU-P                    
J3         CVILUX_CF20          BottomLayer CF2020                                          55.7769      69.0555      0        2143-1X04G00DAU-P                    
J4         OUPIIN_2041          TopLayer    IDC2X10R254H8.4_ZL262-20DG_NINIGI               81.6759      62.0663      0        2041-2x10G00SA(B)                    
J5         IDC2X5R20            TopLayer    IDC2X5R20H4.7_2143-2X05G00DP_OUPIIN_MIRR        56.2659      38.6363      270      2143-2X05G00DPU-P                    
J8         TX24-30R-LT-H1E      TopLayer    SJ036977                                        82.0059      71.9188      180      TX24-30R-LT-H1E                      
J9         2X10R254             TopLayer    IDC2X10R254H8.4_ZL262-20DG_NINIGI               110.9059     70.9463      0        ZL262-20DG                           
J11        IDC2X5R1.27R2.54     TopLayer    IDC2X5R1.27R2.54_2244-2X04G00SU_OUPIIN_MF21     84.1500      23.7463      0        2244-2X04G00SU                       
J12        BM08B-GHS-TBT        BottomLayer BM08B-GHS-TBT                                   55.6560      74.1960      0        SM08B-GHS-TB                         
J13        PCIER-036AN41B2U     TopLayer    PCIER-036AN41                                   22.1000      29.6100      0        PCIER-036AN41B2U                     
J14        JST_BM20B            BottomLayer JST_SM20B-SHLDS-G-TF                            5.6000       12.5000      90       SM20B-SHLDS-G-TF                     
J15        RJ12GPCB-M           TopLayer    RJ12GPCB-M_NINIGI                               73.0500      -16.5800     180      RJ12GPCB-M                           
J16        WR-COM               TopLayer    CON_USBB_WE61400416121                          58.3500      -12.3508     180      61400416121                          
J17        WR-MJ                TopLayer    CON_WR-MJ_615008137421                          90.0000      -14.9670     0        615008137421                         
J18        MPJ-3P_ADAMTECH      TopLayer    MPJ-3P_ADAMTECH                                 108.7399     -14.9035     180      MPJ-3P                               
J21        WR_CRD               TopLayer    WE_WR-CRD_693072010801_AND_ATTEND_112A-TAA0-R01 103.4054     43.1885      0        693072010801                         
J25        B3B-PH-K-S_JST       BottomLayer JST_B3B-PH-K-S                                  6.6000       2.8000       180      B3B-PH-K-S(LF)(SN)                   
L1         600R@100MHZ          TopLayer    0603                                            56.6365      15.5709      0        742792651                            
L2         80R@100MHZ           TopLayer    1206                                            62.0057      12.6316      180      74279215                             
L8         600R@100MHZ          BottomLayer 0603                                            60.4078      2.4592       270      742792653                            
L49        100R@100MHZ          BottomLayer 1812_KEMET                                      98.8214      -4.8962      180      74279226101                          
L50        WE-CNSW              BottomLayer 1206_WE-CNSW                                    58.3699      3.5373       270      744232102                            
L55        100R@100MHZ          BottomLayer 3312_WE                                         110.1880     -4.8962      0        74279225101                          
L56        330R@100MHZ          TopLayer    0805                                            114.0581     12.7021      270      742792037                            
L62        600R@100MHZ          BottomLayer 0603                                            68.8848      11.6201      270      742792651                            
L63        100R@100MHZ          TopLayer    3312_WE                                         44.1786      5.7357       270      74279225101                          
Q1         IRLL2705PBF          TopLayer    SOT223                                          74.5562      -7.4092      180      IRLL2705PBF                          
Q2         2N7002               TopLayer    SOT-23                                          74.5912      24.0609      0        2N7002                               
Q3         TSM2301CX            BottomLayer SOT-23                                          115.6217     43.9655      0        TSM2301CX                            
Q4         2N7002               TopLayer    SOT-23                                          61.1218      62.2366      0        2N7002                               
Q5         2N7002               BottomLayer SOT-23                                          65.3948      61.6981      270      2N7002                               
Q7         2N7002               BottomLayer SOT-23                                          27.1177      24.1677      180      2N7002                               
Q8         TSM2301CX            TopLayer    SOT-23                                          8.0443       20.8426      0        TSM2301CX                            
Q9         2N7002               BottomLayer SOT-23                                          96.1253      43.1562      0        2N7002                               
R1         10K                  TopLayer    0603                                            93.7010      13.8153      90       "10k 5% 0603"                        
R2         10K                  TopLayer    0603                                            105.6530     13.3658      90       "10k 5% 0603"                        
R3         "49.9R 1%"           BottomLayer 0603                                            67.1905      11.6407      90       "49.9R 1%  0603"                     
R4         "49.9R 1%"           BottomLayer 0603                                            64.2343      12.2754      0        "49.9R 1%  0603"                     
R5         "49.9R 1%"           BottomLayer 0603                                            65.0401      10.9373      180      "49.9R 1%  0603"                     
R6         1k                   TopLayer    0603                                            89.2938      13.8153      90       "1K 5% 0603"                         
R7         "5k1 5% 0603"        TopLayer    0603                                            77.9707      24.8144      0        "5k1 5% 0603"                        
R8         8k2                  TopLayer    0603                                            93.3784      20.6090      180      "8k2 5% 0603"                        
R9         "3.3K 1%"            TopLayer    0603                                            71.6526      12.7603      0        "3.3K 1% 0603"                       
