RefDes 	Name     	Pattern           	Center X (mm) 	Center Y (mm) 	Side   	Rotation 	Value          	Description 	Manufacturer c-r 
C4     	CAB1005  	CAP_0805_S4C      	112.142       	14.26         	Bottom 	180.0    	10uF 10% 25V   	            	                 
C5     	CAA1004  	CAP_0603_S4C      	114.263       	2.164         	Bottom 	270.0    	1uF 10% 25V    	            	                 
C6     	CAA1003  	CAP_0603_S4C      	91.992        	23.302        	Top    	0.0      	100nF 10% 50V  	            	                 
C7     	CAA1003  	CAP_0603_S4C      	102.512       	24.319        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C8     	CAA1003  	CAP_0603_S4C      	102.435       	26.128        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C9     	CAA1004  	CAP_0603_S4C      	102.445       	21.846        	Bottom 	180.0    	1uF 10% 25V    	            	                 
D1     	DIO0001  	SOD-123FL_S4C     	108.14        	1.905         	Bottom 	180.0    	SKL16          	            	                 
D2     	DIO0001  	SOD-123FL_S4C     	116.451       	14.376        	Bottom 	90.0     	SKL16          	            	                 
D3     	LED0001  	DIO_0603_S4C      	108.407       	27.649        	Top    	180.0    	RUB190TS       	            	                 
F1     	FSA7500  	RES_0603_S4C      	98.524        	1.405         	Top    	0.0      	               	Fuse        	                 
FD1    	FIDUCIAL 	FIDUCIAL_S4C      	116.336       	25.131        	Top    	90.0     	               	            	                 
FD2    	FIDUCIAL 	FIDUCIAL_S4C      	83.321        	3.148         	Top    	90.0     	               	            	                 
FD3    	FIDUCIAL 	FIDUCIAL_S4C      	115.86        	1.8           	Top    	90.0     	               	            	                 
FD4    	FIDUCIAL 	FIDUCIAL_S4C      	109.093       	28.642        	Bottom 	270.0    	               	            	                 
FD5    	FIDUCIAL 	FIDUCIAL_S4C      	82.037        	25.007        	Bottom 	270.0    	               	            	                 
FD6    	FIDUCIAL 	FIDUCIAL_S4C      	82.266        	2.14          	Bottom 	270.0    	               	            	                 
Q1     	TRF0002  	SOT23_S4C         	96.634        	28.515        	Top    	0.0      	BSS84.215      	            	                 
Q2     	TRF0001  	SOT23_S4C         	91.811        	5.368         	Top    	180.0    	NX7002AK       	            	                 
Q3     	TRF0001  	SOT23_S4C         	91.82         	8.902         	Top    	180.0    	NX7002AK       	            	                 
Q4     	TRF0001  	SOT23_S4C         	106.319       	19.969        	Bottom 	180.0    	NX7002AK       	            	                 
Q5     	TRF0001  	SOT23_S4C         	96.598        	28.161        	Bottom 	0.0      	NX7002AK       	            	                 
R1     	REA1003  	RES_0603_S4C      	115.021       	24.253        	Bottom 	270.0    	100kR 1%       	            	                 
R2     	REA1002  	RES_0603_S4C      	115.74        	8.611         	Bottom 	270.0    	10kR 1%        	            	                 
R3     	REA1002  	RES_0603_S4C      	100.253       	29.167        	Top    	0.0      	10kR 1%        	            	                 
R4     	REA1001  	RES_0603_S4C      	82.676        	29.119        	Top    	180.0    	1kR 1%         	            	                 
R5     	REA1001  	RES_0603_S4C      	82.794        	26.456        	Top    	180.0    	1kR 1%         	            	                 
R6     	REA1003  	RES_0603_S4C      	93.932        	28.387        	Top    	90.0     	100kR 1%       	            	                 
R7     	REA1002  	RES_0603_S4C      	91.397        	28.442        	Top    	180.0    	10kR 1%        	            	                 
R8     	REA1003  	RES_0603_S4C      	112.147       	27.932        	Bottom 	0.0      	100kR 1%       	            	                 
R9     	REA1003  	RES_0603_S4C      	91.992        	21.745        	Top    	180.0    	100kR 1%       	            	                 
R10    	REA1801  	RES_0603_S4C      	106.562       	29.223        	Top    	0.0      	1.8kR 1%       	            	                 
R11    	REA1801  	RES_0603_S4C      	92.393        	2.683         	Top    	180.0    	1.8kR 1%       	            	                 
R12    	REA1002  	RES_0603_S4C      	94.615        	5.179         	Top    	270.0    	10kR 1%        	            	                 
R13    	REA1002  	RES_0603_S4C      	90.395        	25.967        	Top    	270.0    	10kR 1%        	            	                 
R14    	REA6800  	RES_0603_S4C      	91.84         	11.576        	Top    	180.0    	680R 1%        	            	                 
R15    	REA1002  	RES_0603_S4C      	97.534        	9.66          	Top    	270.0    	10kR 1%        	            	                 
R16    	REA1002  	RES_0603_S4C      	99.661        	26.552        	Bottom 	270.0    	10kR 1%        	            	                 
U1     	LRE0002  	SOIC-8/150mil_S4C 	112.184       	8.703         	Bottom 	270.0    	KF33BD         	            	                 
U2     	NVM0001  	SOT23-5_S4C       	86.731        	26.962        	Top    	0.0      	AT24C02D_SOT23 	            	                 
U3     	MCO0001  	TSSOP-20_S4C      	102.54        	24.283        	Top    	0.0      	STM32F042FxPx  	            	                 
C1     	CAA1003  	CAP_0603_S4C      	152.674       	2.15          	Bottom 	270.0    	100nF 10% 50V  	            	                 
C2     	CAA1003  	CAP_0603_S4C      	127.58        	24.396        	Top    	0.0      	100nF 10% 50V  	            	                 
C3     	CAA1003  	CAP_0603_S4C      	152.024       	16.483        	Bottom 	180.0    	100nF 10% 50V  	            	                 
