RefDes 	Name     	Pattern           	Center X (mm) 	Center Y (mm) 	Side   	Rotation 	Value          	Description 	Manufacturer c-r 
Q4     	TRF0001  	SOT23_S4C         	66.219        	52.449        	Bottom 	180.0    	NX7002AK       	            	                 
Q5     	TRF0001  	SOT23_S4C         	56.498        	60.641        	Bottom 	0.0      	NX7002AK       	            	                 
R1     	REA1003  	RES_0603_S4C      	74.921        	56.733        	Bottom 	270.0    	100kR 1%       	            	                 
R2     	REA1002  	RES_0603_S4C      	75.64         	41.091        	Bottom 	270.0    	10kR 1%        	            	                 
R3     	REA1002  	RES_0603_S4C      	60.153        	61.647        	Top    	0.0      	10kR 1%        	            	                 
R4     	REA1001  	RES_0603_S4C      	42.576        	61.599        	Top    	180.0    	1kR 1%         	            	                 
R5     	REA1001  	RES_0603_S4C      	42.694        	58.936        	Top    	180.0    	1kR 1%         	            	                 
R6     	REA1003  	RES_0603_S4C      	53.832        	60.867        	Top    	90.0     	100kR 1%       	            	                 
R7     	REA1002  	RES_0603_S4C      	51.297        	60.922        	Top    	180.0    	10kR 1%        	            	                 
R8     	REA1003  	RES_0603_S4C      	72.047        	60.412        	Bottom 	0.0      	100kR 1%       	            	                 
R9     	REA1003  	RES_0603_S4C      	51.892        	54.225        	Top    	180.0    	100kR 1%       	            	                 
R10    	REA1801  	RES_0603_S4C      	66.462        	61.703        	Top    	0.0      	1.8kR 1%       	            	                 
R11    	REA1801  	RES_0603_S4C      	52.293        	35.163        	Top    	180.0    	1.8kR 1%       	            	                 
R12    	REA1002  	RES_0603_S4C      	54.515        	37.659        	Top    	270.0    	10kR 1%        	            	                 
R13    	REA1002  	RES_0603_S4C      	50.295        	58.447        	Top    	270.0    	10kR 1%        	            	                 
R14    	REA6800  	RES_0603_S4C      	51.74         	44.056        	Top    	180.0    	680R 1%        	            	                 
R15    	REA1002  	RES_0603_S4C      	57.434        	42.14         	Top    	270.0    	10kR 1%        	            	                 
R16    	REA1002  	RES_0603_S4C      	59.561        	59.032        	Bottom 	270.0    	10kR 1%        	            	                 
U1     	LRE0002  	SOIC-8/150mil_S4C 	72.084        	41.183        	Bottom 	270.0    	KF33BD         	            	                 
U2     	NVM0001  	SOT23-5_S4C       	46.631        	59.442        	Top    	0.0      	AT24C02D_SOT23 	            	                 
U3     	MCO0001  	TSSOP-20_S4C      	62.44         	56.763        	Top    	0.0      	STM32F042FxPx  	            	                 
C1     	CAA1003  	CAP_0603_S4C      	112.574       	34.63         	Bottom 	270.0    	100nF 10% 50V  	            	                 
C2     	CAA1003  	CAP_0603_S4C      	87.48         	56.876        	Top    	0.0      	100nF 10% 50V  	            	                 
C3     	CAA1003  	CAP_0603_S4C      	111.924       	48.963        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C4     	CAB1005  	CAP_0805_S4C      	112.142       	46.74         	Bottom 	180.0    	10uF 10% 25V   	            	                 
C5     	CAA1004  	CAP_0603_S4C      	114.263       	34.644        	Bottom 	270.0    	1uF 10% 25V    	            	                 
C6     	CAA1003  	CAP_0603_S4C      	91.992        	55.782        	Top    	0.0      	100nF 10% 50V  	            	                 
C7     	CAA1003  	CAP_0603_S4C      	102.512       	56.799        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C8     	CAA1003  	CAP_0603_S4C      	102.435       	58.608        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C9     	CAA1004  	CAP_0603_S4C      	102.445       	54.326        	Bottom 	180.0    	1uF 10% 25V    	            	                 
D1     	DIO0001  	SOD-123FL_S4C     	108.14        	34.385        	Bottom 	180.0    	SKL16          	            	                 
D2     	DIO0001  	SOD-123FL_S4C     	116.451       	46.856        	Bottom 	90.0     	SKL16          	            	                 
D3     	LED0001  	DIO_0603_S4C      	108.407       	60.129        	Top    	180.0    	RUB190TS       	            	                 
F1     	FSA7500  	RES_0603_S4C      	98.524        	33.885        	Top    	0.0      	               	Fuse        	                 
FD1    	FIDUCIAL 	FIDUCIAL_S4C      	116.336       	57.611        	Top    	90.0     	               	            	                 
FD2    	FIDUCIAL 	FIDUCIAL_S4C      	83.321        	35.628        	Top    	90.0     	               	            	                 
FD3    	FIDUCIAL 	FIDUCIAL_S4C      	115.86        	34.28         	Top    	90.0     	               	            	                 
FD4    	FIDUCIAL 	FIDUCIAL_S4C      	109.093       	61.122        	Bottom 	270.0    	               	            	                 
FD5    	FIDUCIAL 	FIDUCIAL_S4C      	82.037        	57.487        	Bottom 	270.0    	               	            	                 
FD6    	FIDUCIAL 	FIDUCIAL_S4C      	82.266        	34.62         	Bottom 	270.0    	               	            	                 
Q1     	TRF0002  	SOT23_S4C         	96.634        	60.995        	Top    	0.0      	BSS84.215      	            	                 
Q2     	TRF0001  	SOT23_S4C         	91.811        	37.848        	Top    	180.0    	NX7002AK       	            	                 
Q3     	TRF0001  	SOT23_S4C         	91.82         	41.382        	Top    	180.0    	NX7002AK       	            	                 
Q4     	TRF0001  	SOT23_S4C         	106.319       	52.449        	Bottom 	180.0    	NX7002AK       	            	                 
Q5     	TRF0001  	SOT23_S4C         	96.598        	60.641        	Bottom 	0.0      	NX7002AK       	            	                 
R1     	REA1003  	RES_0603_S4C      	115.021       	56.733        	Bottom 	270.0    	100kR 1%       	            	                 
R2     	REA1002  	RES_0603_S4C      	115.74        	41.091        	Bottom 	270.0    	10kR 1%        	            	                 
R3     	REA1002  	RES_0603_S4C      	100.253       	61.647        	Top    	0.0      	10kR 1%        	            	                 
R4     	REA1001  	RES_0603_S4C      	82.676        	61.599        	Top    	180.0    	1kR 1%         	            	                 
R5     	REA1001  	RES_0603_S4C      	82.794        	58.936        	Top    	180.0    	1kR 1%         	            	                 
R6     	REA1003  	RES_0603_S4C      	93.932        	60.867        	Top    	90.0     	100kR 1%       	            	                 
R7     	REA1002  	RES_0603_S4C      	91.397        	60.922        	Top    	180.0    	10kR 1%        	            	                 
R8     	REA1003  	RES_0603_S4C      	112.147       	60.412        	Bottom 	0.0      	100kR 1%       	            	                 
R9     	REA1003  	RES_0603_S4C      	91.992        	54.225        	Top    	180.0    	100kR 1%       	            	                 
R10    	REA1801  	RES_0603_S4C      	106.562       	61.703        	Top    	0.0      	1.8kR 1%       	            	                 
R11    	REA1801  	RES_0603_S4C      	92.393        	35.163        	Top    	180.0    	1.8kR 1%       	            	                 
R12    	REA1002  	RES_0603_S4C      	94.615        	37.659        	Top    	270.0    	10kR 1%        	            	                 
R13    	REA1002  	RES_0603_S4C      	90.395        	58.447        	Top    	270.0    	10kR 1%        	            	                 
R14    	REA6800  	RES_0603_S4C      	91.84         	44.056        	Top    	180.0    	680R 1%        	            	                 
R15    	REA1002  	RES_0603_S4C      	97.534        	42.14         	Top    	270.0    	10kR 1%        	            	                 
R16    	REA1002  	RES_0603_S4C      	99.661        	59.032        	Bottom 	270.0    	10kR 1%        	            	                 
U1     	LRE0002  	SOIC-8/150mil_S4C 	112.184       	41.183        	Bottom 	270.0    	KF33BD         	            	                 
U2     	NVM0001  	SOT23-5_S4C       	86.731        	59.442        	Top    	0.0      	AT24C02D_SOT23 	            	                 
U3     	MCO0001  	TSSOP-20_S4C      	102.54        	56.763        	Top    	0.0      	STM32F042FxPx  	            	                 
C1     	CAA1003  	CAP_0603_S4C      	152.674       	34.63         	Bottom 	270.0    	100nF 10% 50V  	            	                 
C2     	CAA1003  	CAP_0603_S4C      	127.58        	56.876        	Top    	0.0      	100nF 10% 50V  	            	                 
C3     	CAA1003  	CAP_0603_S4C      	152.024       	48.963        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C4     	CAB1005  	CAP_0805_S4C      	152.242       	46.74         	Bottom 	180.0    	10uF 10% 25V   	            	                 
C5     	CAA1004  	CAP_0603_S4C      	154.363       	34.644        	Bottom 	270.0    	1uF 10% 25V    	            	                 
C6     	CAA1003  	CAP_0603_S4C      	132.092       	55.782        	Top    	0.0      	100nF 10% 50V  	            	                 
C7     	CAA1003  	CAP_0603_S4C      	142.612       	56.799        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C8     	CAA1003  	CAP_0603_S4C      	142.535       	58.608        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C9     	CAA1004  	CAP_0603_S4C      	142.545       	54.326        	Bottom 	180.0    	1uF 10% 25V    	            	                 
D1     	DIO0001  	SOD-123FL_S4C     	148.24        	34.385        	Bottom 	180.0    	SKL16          	            	                 
D2     	DIO0001  	SOD-123FL_S4C     	156.551       	46.856        	Bottom 	90.0     	SKL16          	            	                 
D3     	LED0001  	DIO_0603_S4C      	148.507       	60.129        	Top    	180.0    	RUB190TS       	            	                 
F1     	FSA7500  	RES_0603_S4C      	138.624       	33.885        	Top    	0.0      	               	Fuse        	                 
FD1    	FIDUCIAL 	FIDUCIAL_S4C      	156.436       	57.611        	Top    	90.0     	               	            	                 
FD2    	FIDUCIAL 	FIDUCIAL_S4C      	123.421       	35.628        	Top    	90.0     	               	            	                 
FD3    	FIDUCIAL 	FIDUCIAL_S4C      	155.96        	34.28         	Top    	90.0     	               	            	                 
FD4    	FIDUCIAL 	FIDUCIAL_S4C      	149.193       	61.122        	Bottom 	270.0    	               	            	                 
FD5    	FIDUCIAL 	FIDUCIAL_S4C      	122.137       	57.487        	Bottom 	270.0    	               	            	                 
FD6    	FIDUCIAL 	FIDUCIAL_S4C      	122.366       	34.62         	Bottom 	270.0    	               	            	                 
Q1     	TRF0002  	SOT23_S4C         	136.734       	60.995        	Top    	0.0      	BSS84.215      	            	                 
Q2     	TRF0001  	SOT23_S4C         	131.911       	37.848        	Top    	180.0    	NX7002AK       	            	                 
Q3     	TRF0001  	SOT23_S4C         	131.92        	41.382        	Top    	180.0    	NX7002AK       	            	                 
Q4     	TRF0001  	SOT23_S4C         	146.419       	52.449        	Bottom 	180.0    	NX7002AK       	            	                 
Q5     	TRF0001  	SOT23_S4C         	136.698       	60.641        	Bottom 	0.0      	NX7002AK       	            	                 
R1     	REA1003  	RES_0603_S4C      	155.121       	56.733        	Bottom 	270.0    	100kR 1%       	            	                 
R2     	REA1002  	RES_0603_S4C      	155.84        	41.091        	Bottom 	270.0    	10kR 1%        	            	                 
R3     	REA1002  	RES_0603_S4C      	140.353       	61.647        	Top    	0.0      	10kR 1%        	            	                 
R4     	REA1001  	RES_0603_S4C      	122.776       	61.599        	Top    	180.0    	1kR 1%         	            	                 
R5     	REA1001  	RES_0603_S4C      	122.894       	58.936        	Top    	180.0    	1kR 1%         	            	                 
R6     	REA1003  	RES_0603_S4C      	134.032       	60.867        	Top    	90.0     	100kR 1%       	            	                 
R7     	REA1002  	RES_0603_S4C      	131.497       	60.922        	Top    	180.0    	10kR 1%        	            	                 
R8     	REA1003  	RES_0603_S4C      	152.247       	60.412        	Bottom 	0.0      	100kR 1%       	            	                 
R9     	REA1003  	RES_0603_S4C      	132.092       	54.225        	Top    	180.0    	100kR 1%       	            	                 
R10    	REA1801  	RES_0603_S4C      	146.662       	61.703        	Top    	0.0      	1.8kR 1%       	            	                 
R11    	REA1801  	RES_0603_S4C      	132.493       	35.163        	Top    	180.0    	1.8kR 1%       	            	                 
R12    	REA1002  	RES_0603_S4C      	134.715       	37.659        	Top    	270.0    	10kR 1%        	            	                 
R13    	REA1002  	RES_0603_S4C      	130.495       	58.447        	Top    	270.0    	10kR 1%        	            	                 
R14    	REA6800  	RES_0603_S4C      	131.94        	44.056        	Top    	180.0    	680R 1%        	            	                 
R15    	REA1002  	RES_0603_S4C      	137.634       	42.14         	Top    	270.0    	10kR 1%        	            	                 
R16    	REA1002  	RES_0603_S4C      	139.761       	59.032        	Bottom 	270.0    	10kR 1%        	            	                 
U1     	LRE0002  	SOIC-8/150mil_S4C 	152.284       	41.183        	Bottom 	270.0    	KF33BD         	            	                 
U2     	NVM0001  	SOT23-5_S4C       	126.831       	59.442        	Top    	0.0      	AT24C02D_SOT23 	            	                 
U3     	MCO0001  	TSSOP-20_S4C      	142.64        	56.763        	Top    	0.0      	STM32F042FxPx  	            	                 
C1     	CAA1003  	CAP_0603_S4C      	32.374        	67.11         	Bottom 	270.0    	100nF 10% 50V  	            	                 
C2     	CAA1003  	CAP_0603_S4C      	7.28          	89.356        	Top    	0.0      	100nF 10% 50V  	            	                 
C3     	CAA1003  	CAP_0603_S4C      	31.724        	81.443        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C4     	CAB1005  	CAP_0805_S4C      	31.942        	79.22         	Bottom 	180.0    	10uF 10% 25V   	            	                 
C5     	CAA1004  	CAP_0603_S4C      	34.063        	67.124        	Bottom 	270.0    	1uF 10% 25V    	            	                 
C6     	CAA1003  	CAP_0603_S4C      	11.792        	88.262        	Top    	0.0      	100nF 10% 50V  	            	                 
C7     	CAA1003  	CAP_0603_S4C      	22.312        	89.279        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C8     	CAA1003  	CAP_0603_S4C      	22.235        	91.088        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C9     	CAA1004  	CAP_0603_S4C      	22.245        	86.806        	Bottom 	180.0    	1uF 10% 25V    	            	                 
D1     	DIO0001  	SOD-123FL_S4C     	27.94         	66.865        	Bottom 	180.0    	SKL16          	            	                 
D2     	DIO0001  	SOD-123FL_S4C     	36.251        	79.336        	Bottom 	90.0     	SKL16          	            	                 
D3     	LED0001  	DIO_0603_S4C      	28.207        	92.609        	Top    	180.0    	RUB190TS       	            	                 
F1     	FSA7500  	RES_0603_S4C      	18.324        	66.365        	Top    	0.0      	               	Fuse        	                 
FD1    	FIDUCIAL 	FIDUCIAL_S4C      	36.136        	90.091        	Top    	90.0     	               	            	                 
FD2    	FIDUCIAL 	FIDUCIAL_S4C      	3.121         	68.108        	Top    	90.0     	               	            	                 
FD3    	FIDUCIAL 	FIDUCIAL_S4C      	35.66         	66.76         	Top    	90.0     	               	            	                 
FD4    	FIDUCIAL 	FIDUCIAL_S4C      	28.893        	93.602        	Bottom 	270.0    	               	            	                 
FD5    	FIDUCIAL 	FIDUCIAL_S4C      	1.837         	89.967        	Bottom 	270.0    	               	            	                 
FD6    	FIDUCIAL 	FIDUCIAL_S4C      	2.066         	67.1          	Bottom 	270.0    	               	            	                 
Q1     	TRF0002  	SOT23_S4C         	16.434        	93.475        	Top    	0.0      	BSS84.215      	            	                 
Q2     	TRF0001  	SOT23_S4C         	11.611        	70.328        	Top    	180.0    	NX7002AK       	            	                 
Q3     	TRF0001  	SOT23_S4C         	11.62         	73.862        	Top    	180.0    	NX7002AK       	            	                 
Q4     	TRF0001  	SOT23_S4C         	26.119        	84.929        	Bottom 	180.0    	NX7002AK       	            	                 
Q5     	TRF0001  	SOT23_S4C         	16.398        	93.121        	Bottom 	0.0      	NX7002AK       	            	                 
R1     	REA1003  	RES_0603_S4C      	34.821        	89.213        	Bottom 	270.0    	100kR 1%       	            	                 
R2     	REA1002  	RES_0603_S4C      	35.54         	73.571        	Bottom 	270.0    	10kR 1%        	            	                 
R3     	REA1002  	RES_0603_S4C      	20.053        	94.127        	Top    	0.0      	10kR 1%        	            	                 
R4     	REA1001  	RES_0603_S4C      	2.476         	94.079        	Top    	180.0    	1kR 1%         	            	                 
R5     	REA1001  	RES_0603_S4C      	2.594         	91.416        	Top    	180.0    	1kR 1%         	            	                 
R6     	REA1003  	RES_0603_S4C      	13.732        	93.347        	Top    	90.0     	100kR 1%       	            	                 
R7     	REA1002  	RES_0603_S4C      	11.197        	93.402        	Top    	180.0    	10kR 1%        	            	                 
R8     	REA1003  	RES_0603_S4C      	31.947        	92.892        	Bottom 	0.0      	100kR 1%       	            	                 
R9     	REA1003  	RES_0603_S4C      	11.792        	86.705        	Top    	180.0    	100kR 1%       	            	                 
R10    	REA1801  	RES_0603_S4C      	26.362        	94.183        	Top    	0.0      	1.8kR 1%       	            	                 
R11    	REA1801  	RES_0603_S4C      	12.193        	67.643        	Top    	180.0    	1.8kR 1%       	            	                 
R12    	REA1002  	RES_0603_S4C      	14.415        	70.139        	Top    	270.0    	10kR 1%        	            	                 
R13    	REA1002  	RES_0603_S4C      	10.195        	90.927        	Top    	270.0    	10kR 1%        	            	                 
R14    	REA6800  	RES_0603_S4C      	11.64         	76.536        	Top    	180.0    	680R 1%        	            	                 
R15    	REA1002  	RES_0603_S4C      	17.334        	74.62         	Top    	270.0    	10kR 1%        	            	                 
R16    	REA1002  	RES_0603_S4C      	19.461        	91.512        	Bottom 	270.0    	10kR 1%        	            	                 
U1     	LRE0002  	SOIC-8/150mil_S4C 	31.984        	73.663        	Bottom 	270.0    	KF33BD         	            	                 
U2     	NVM0001  	SOT23-5_S4C       	6.531         	91.922        	Top    	0.0      	AT24C02D_SOT23 	            	                 
U3     	MCO0001  	TSSOP-20_S4C      	22.34         	89.243        	Top    	0.0      	STM32F042FxPx  	            	                 
C1     	CAA1003  	CAP_0603_S4C      	72.474        	67.11         	Bottom 	270.0    	100nF 10% 50V  	            	                 
C2     	CAA1003  	CAP_0603_S4C      	47.38         	89.356        	Top    	0.0      	100nF 10% 50V  	            	                 
C3     	CAA1003  	CAP_0603_S4C      	71.824        	81.443        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C4     	CAB1005  	CAP_0805_S4C      	72.042        	79.22         	Bottom 	180.0    	10uF 10% 25V   	            	                 
C5     	CAA1004  	CAP_0603_S4C      	74.163        	67.124        	Bottom 	270.0    	1uF 10% 25V    	            	                 
C6     	CAA1003  	CAP_0603_S4C      	51.892        	88.262        	Top    	0.0      	100nF 10% 50V  	            	                 
C7     	CAA1003  	CAP_0603_S4C      	62.412        	89.279        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C8     	CAA1003  	CAP_0603_S4C      	62.335        	91.088        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C9     	CAA1004  	CAP_0603_S4C      	62.345        	86.806        	Bottom 	180.0    	1uF 10% 25V    	            	                 
D1     	DIO0001  	SOD-123FL_S4C     	68.04         	66.865        	Bottom 	180.0    	SKL16          	            	                 
D2     	DIO0001  	SOD-123FL_S4C     	76.351        	79.336        	Bottom 	90.0     	SKL16          	            	                 
D3     	LED0001  	DIO_0603_S4C      	68.307        	92.609        	Top    	180.0    	RUB190TS       	            	                 
F1     	FSA7500  	RES_0603_S4C      	58.424        	66.365        	Top    	0.0      	               	Fuse        	                 
FD1    	FIDUCIAL 	FIDUCIAL_S4C      	76.236        	90.091        	Top    	90.0     	               	            	                 
FD2    	FIDUCIAL 	FIDUCIAL_S4C      	43.221        	68.108        	Top    	90.0     	               	            	                 
FD3    	FIDUCIAL 	FIDUCIAL_S4C      	75.76         	66.76         	Top    	90.0     	               	            	                 
FD4    	FIDUCIAL 	FIDUCIAL_S4C      	68.993        	93.602        	Bottom 	270.0    	               	            	                 
FD5    	FIDUCIAL 	FIDUCIAL_S4C      	41.937        	89.967        	Bottom 	270.0    	               	            	                 
FD6    	FIDUCIAL 	FIDUCIAL_S4C      	42.166        	67.1          	Bottom 	270.0    	               	            	                 
Q1     	TRF0002  	SOT23_S4C         	56.534        	93.475        	Top    	0.0      	BSS84.215      	            	                 
Q2     	TRF0001  	SOT23_S4C         	51.711        	70.328        	Top    	180.0    	NX7002AK       	            	                 
Q3     	TRF0001  	SOT23_S4C         	51.72         	73.862        	Top    	180.0    	NX7002AK       	            	                 
Q4     	TRF0001  	SOT23_S4C         	66.219        	84.929        	Bottom 	180.0    	NX7002AK       	            	                 
Q5     	TRF0001  	SOT23_S4C         	56.498        	93.121        	Bottom 	0.0      	NX7002AK       	            	                 
R1     	REA1003  	RES_0603_S4C      	74.921        	89.213        	Bottom 	270.0    	100kR 1%       	            	                 
R2     	REA1002  	RES_0603_S4C      	75.64         	73.571        	Bottom 	270.0    	10kR 1%        	            	                 
R3     	REA1002  	RES_0603_S4C      	60.153        	94.127        	Top    	0.0      	10kR 1%        	            	                 
R4     	REA1001  	RES_0603_S4C      	42.576        	94.079        	Top    	180.0    	1kR 1%         	            	                 
R5     	REA1001  	RES_0603_S4C      	42.694        	91.416        	Top    	180.0    	1kR 1%         	            	                 
R6     	REA1003  	RES_0603_S4C      	53.832        	93.347        	Top    	90.0     	100kR 1%       	            	                 
R7     	REA1002  	RES_0603_S4C      	51.297        	93.402        	Top    	180.0    	10kR 1%        	            	                 
R8     	REA1003  	RES_0603_S4C      	72.047        	92.892        	Bottom 	0.0      	100kR 1%       	            	                 
R9     	REA1003  	RES_0603_S4C      	51.892        	86.705        	Top    	180.0    	100kR 1%       	            	                 
R10    	REA1801  	RES_0603_S4C      	66.462        	94.183        	Top    	0.0      	1.8kR 1%       	            	                 
R11    	REA1801  	RES_0603_S4C      	52.293        	67.643        	Top    	180.0    	1.8kR 1%       	            	                 
R12    	REA1002  	RES_0603_S4C      	54.515        	70.139        	Top    	270.0    	10kR 1%        	            	                 
R13    	REA1002  	RES_0603_S4C      	50.295        	90.927        	Top    	270.0    	10kR 1%        	            	                 
R14    	REA6800  	RES_0603_S4C      	51.74         	76.536        	Top    	180.0    	680R 1%        	            	                 
R15    	REA1002  	RES_0603_S4C      	57.434        	74.62         	Top    	270.0    	10kR 1%        	            	                 
R16    	REA1002  	RES_0603_S4C      	59.561        	91.512        	Bottom 	270.0    	10kR 1%        	            	                 
U1     	LRE0002  	SOIC-8/150mil_S4C 	72.084        	73.663        	Bottom 	270.0    	KF33BD         	            	                 
U2     	NVM0001  	SOT23-5_S4C       	46.631        	91.922        	Top    	0.0      	AT24C02D_SOT23 	            	                 
U3     	MCO0001  	TSSOP-20_S4C      	62.44         	89.243        	Top    	0.0      	STM32F042FxPx  	            	                 
C1     	CAA1003  	CAP_0603_S4C      	112.574       	67.11         	Bottom 	270.0    	100nF 10% 50V  	            	                 
C2     	CAA1003  	CAP_0603_S4C      	87.48         	89.356        	Top    	0.0      	100nF 10% 50V  	            	                 
C3     	CAA1003  	CAP_0603_S4C      	111.924       	81.443        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C4     	CAB1005  	CAP_0805_S4C      	112.142       	79.22         	Bottom 	180.0    	10uF 10% 25V   	            	                 
C5     	CAA1004  	CAP_0603_S4C      	114.263       	67.124        	Bottom 	270.0    	1uF 10% 25V    	            	                 
C6     	CAA1003  	CAP_0603_S4C      	91.992        	88.262        	Top    	0.0      	100nF 10% 50V  	            	                 
C7     	CAA1003  	CAP_0603_S4C      	102.512       	89.279        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C8     	CAA1003  	CAP_0603_S4C      	102.435       	91.088        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C9     	CAA1004  	CAP_0603_S4C      	102.445       	86.806        	Bottom 	180.0    	1uF 10% 25V    	            	                 
D1     	DIO0001  	SOD-123FL_S4C     	108.14        	66.865        	Bottom 	180.0    	SKL16          	            	                 
D2     	DIO0001  	SOD-123FL_S4C     	116.451       	79.336        	Bottom 	90.0     	SKL16          	            	                 
D3     	LED0001  	DIO_0603_S4C      	108.407       	92.609        	Top    	180.0    	RUB190TS       	            	                 
F1     	FSA7500  	RES_0603_S4C      	98.524        	66.365        	Top    	0.0      	               	Fuse        	                 
FD1    	FIDUCIAL 	FIDUCIAL_S4C      	116.336       	90.091        	Top    	90.0     	               	            	                 
FD2    	FIDUCIAL 	FIDUCIAL_S4C      	83.321        	68.108        	Top    	90.0     	               	            	                 
FD3    	FIDUCIAL 	FIDUCIAL_S4C      	115.86        	66.76         	Top    	90.0     	               	            	                 
FD4    	FIDUCIAL 	FIDUCIAL_S4C      	109.093       	93.602        	Bottom 	270.0    	               	            	                 
FD5    	FIDUCIAL 	FIDUCIAL_S4C      	82.037        	89.967        	Bottom 	270.0    	               	            	                 
FD6    	FIDUCIAL 	FIDUCIAL_S4C      	82.266        	67.1          	Bottom 	270.0    	               	            	                 
Q1     	TRF0002  	SOT23_S4C         	96.634        	93.475        	Top    	0.0      	BSS84.215      	            	                 
Q2     	TRF0001  	SOT23_S4C         	91.811        	70.328        	Top    	180.0    	NX7002AK       	            	                 
Q3     	TRF0001  	SOT23_S4C         	91.82         	73.862        	Top    	180.0    	NX7002AK       	            	                 
Q4     	TRF0001  	SOT23_S4C         	106.319       	84.929        	Bottom 	180.0    	NX7002AK       	            	                 
Q5     	TRF0001  	SOT23_S4C         	96.598        	93.121        	Bottom 	0.0      	NX7002AK       	            	                 
R1     	REA1003  	RES_0603_S4C      	115.021       	89.213        	Bottom 	270.0    	100kR 1%       	            	                 
R2     	REA1002  	RES_0603_S4C      	115.74        	73.571        	Bottom 	270.0    	10kR 1%        	            	                 
R3     	REA1002  	RES_0603_S4C      	100.253       	94.127        	Top    	0.0      	10kR 1%        	            	                 
R4     	REA1001  	RES_0603_S4C      	82.676        	94.079        	Top    	180.0    	1kR 1%         	            	                 
R5     	REA1001  	RES_0603_S4C      	82.794        	91.416        	Top    	180.0    	1kR 1%         	            	                 
R6     	REA1003  	RES_0603_S4C      	93.932        	93.347        	Top    	90.0     	100kR 1%       	            	                 
R7     	REA1002  	RES_0603_S4C      	91.397        	93.402        	Top    	180.0    	10kR 1%        	            	                 
R8     	REA1003  	RES_0603_S4C      	112.147       	92.892        	Bottom 	0.0      	100kR 1%       	            	                 
R9     	REA1003  	RES_0603_S4C      	91.992        	86.705        	Top    	180.0    	100kR 1%       	            	                 
R10    	REA1801  	RES_0603_S4C      	106.562       	94.183        	Top    	0.0      	1.8kR 1%       	            	                 
R11    	REA1801  	RES_0603_S4C      	92.393        	67.643        	Top    	180.0    	1.8kR 1%       	            	                 
R12    	REA1002  	RES_0603_S4C      	94.615        	70.139        	Top    	270.0    	10kR 1%        	            	                 
R13    	REA1002  	RES_0603_S4C      	90.395        	90.927        	Top    	270.0    	10kR 1%        	            	                 
R14    	REA6800  	RES_0603_S4C      	91.84         	76.536        	Top    	180.0    	680R 1%        	            	                 
R15    	REA1002  	RES_0603_S4C      	97.534        	74.62         	Top    	270.0    	10kR 1%        	            	                 
R16    	REA1002  	RES_0603_S4C      	99.661        	91.512        	Bottom 	270.0    	10kR 1%        	            	                 
U1     	LRE0002  	SOIC-8/150mil_S4C 	112.184       	73.663        	Bottom 	270.0    	KF33BD         	            	                 
U2     	NVM0001  	SOT23-5_S4C       	86.731        	91.922        	Top    	0.0      	AT24C02D_SOT23 	            	                 
U3     	MCO0001  	TSSOP-20_S4C      	102.54        	89.243        	Top    	0.0      	STM32F042FxPx  	            	                 
C1     	CAA1003  	CAP_0603_S4C      	152.674       	67.11         	Bottom 	270.0    	100nF 10% 50V  	            	                 
C2     	CAA1003  	CAP_0603_S4C      	127.58        	89.356        	Top    	0.0      	100nF 10% 50V  	            	                 
C3     	CAA1003  	CAP_0603_S4C      	152.024       	81.443        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C4     	CAB1005  	CAP_0805_S4C      	152.242       	79.22         	Bottom 	180.0    	10uF 10% 25V   	            	                 
C5     	CAA1004  	CAP_0603_S4C      	154.363       	67.124        	Bottom 	270.0    	1uF 10% 25V    	            	                 
C6     	CAA1003  	CAP_0603_S4C      	132.092       	88.262        	Top    	0.0      	100nF 10% 50V  	            	                 
C7     	CAA1003  	CAP_0603_S4C      	142.612       	89.279        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C8     	CAA1003  	CAP_0603_S4C      	142.535       	91.088        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C9     	CAA1004  	CAP_0603_S4C      	142.545       	86.806        	Bottom 	180.0    	1uF 10% 25V    	            	                 
D1     	DIO0001  	SOD-123FL_S4C     	148.24        	66.865        	Bottom 	180.0    	SKL16          	            	                 
D2     	DIO0001  	SOD-123FL_S4C     	156.551       	79.336        	Bottom 	90.0     	SKL16          	            	                 
D3     	LED0001  	DIO_0603_S4C      	148.507       	92.609        	Top    	180.0    	RUB190TS       	            	                 
F1     	FSA7500  	RES_0603_S4C      	138.624       	66.365        	Top    	0.0      	               	Fuse        	                 
